MGCF0
VERSION	2
BEGIN	META
TITLE	Untitled
ARTIST	
DESIGNER	
DIFFICULTY	0
PLAYLEVEL	
WEATTRIBUTE	
CHARTCONST	0.00000
SONGID	MGTfc97b00f1a5843fd8c406476194a3cb8
BGM	곡2.mp3
BGMOFFSET	0.00000
BGMPREVIEW	0.00000	0.00000
JACKET	
BG	
BGSCENE	
BGSYNC	1
FIELDCOL	0
FIELDBG	
FIELDSCENE	
MAINTIL	0
MAINBPM	0.00000
TUTORIAL	0
SOFFSET	1
USECLICK	1
EXLONG	0
BGMWAITEND	1
AUTHOR_LIST	
AUTHOR_SITES	
DLURL	
COPYRIGHT	
LICENSE		
BEGIN	HEADER
BEAT	0	4	4
BPM	0	120.00000
TIL	0	0	1.00000
BEGIN	NOTES
t	N	N	N	3480	0	1	8	0	0
t	N	N	N	3960	2	1	8	0	0
t	N	N	N	4020	0	1	8	0	0
t	N	N	N	4320	2	1	8	0	0
t	N	N	N	4680	0	1	8	0	0
t	N	N	N	4860	0	1	8	0	0
t	N	N	N	5160	2	1	8	0	0
t	N	N	N	3720	2	1	8	0	0
t	N	N	N	5280	2	1	8	0	0
t	N	N	N	5400	0	1	8	0	0
t	N	N	N	5580	2	1	8	0	0
t	N	N	N	5880	2	1	8	0	0
t	N	N	N	6240	2	1	8	0	0
t	N	N	N	6660	2	1	8	0	0
t	N	N	N	7380	0	1	8	0	0
t	N	N	N	7740	0	1	8	0	0
t	N	N	N	8160	0	1	8	0	0
t	N	N	N	8460	2	1	8	0	0
t	N	N	N	8820	0	1	8	0	0
t	N	N	N	9420	2	1	8	0	0
t	N	N	N	9480	0	1	8	0	0
t	N	N	N	11100	2	1	8	0	0
t	N	N	N	10020	2	1	8	0	0
t	N	N	N	10200	0	1	8	0	0
t	N	N	N	9660	0	1	8	0	0
t	N	N	N	10500	2	1	8	0	0
t	N	N	N	10680	0	1	8	0	0
t	N	N	N	9840	2	1	8	0	0
t	N	N	N	10920	2	1	8	0	0
t	N	N	N	12120	2	1	8	0	0
t	N	N	N	11760	0	1	8	0	0
t	N	N	N	11400	0	1	8	0	0
t	N	N	N	11580	0	1	8	0	0
t	N	N	N	12480	0	1	8	0	0
t	N	N	N	12660	2	1	8	0	0
t	N	N	N	12780	2	1	8	0	0
t	N	N	N	13080	2	1	8	0	0
t	N	N	N	13140	0	1	8	0	0
t	N	N	N	13260	0	1	8	0	0
t	N	N	N	13740	2	1	8	0	0
t	N	N	N	13920	2	1	8	0	0
t	N	N	N	14160	2	1	8	0	0
t	N	N	N	14280	0	1	8	0	0
t	N	N	N	14400	2	1	8	0	0
t	N	N	N	14700	0	1	8	0	0
t	N	N	N	14880	2	1	8	0	0
t	N	N	N	15120	0	1	8	0	0
t	N	N	N	15360	2	1	8	0	0
t	N	N	N	16620	2	1	8	0	0
t	N	N	N	16740	0	1	8	0	0
t	N	N	N	16980	0	1	8	0	0
t	N	N	N	17160	2	1	8	0	0
t	N	N	N	17220	0	1	8	0	0
t	N	N	N	17640	2	1	8	0	0
t	N	N	N	17700	0	1	8	0	0
t	N	N	N	18060	2	1	8	0	0
t	N	N	N	18480	2	1	8	0	0
t	N	N	N	18540	0	1	8	0	0
t	N	N	N	18720	0	1	8	0	0
t	N	N	N	18840	2	1	8	0	0
t	N	N	N	19680	0	1	8	0	0
t	N	N	N	19860	0	1	8	0	0
t	N	N	N	20040	2	1	8	0	0
t	N	N	N	20220	2	1	8	0	0
t	N	N	N	20520	0	1	8	0	0
t	N	N	N	20580	2	1	8	0	0
t	N	N	N	20700	0	1	8	0	0
